t4,t5,t6,t7,t8,Avg
16,15,14,16,17,15.6
16,16,14,15,17,15.6
16,15,14,15,17,15.4
16,15,14,15,17,15.4
16,16,14,16,17,15.8
16,16,14,16,17,15.8
16,16,14,16,17,15.8
16,16,14,16,17,15.8
16,16,14,16,17,15.8
16,16,15,16,17,16
16,16,14,16,17,15.8
16,16,14,15,17,15.6
16,17,14,15,17,15.8
16,17,14,15,17,15.8
16,17,14,15,17,15.8
17,18,14,15,17,16.2
17,18,14,16,17,16.4
17,17,14,15,17,16
17,17,14,15,17,16
17,17,15,15,17,16.2
16,17,15,15,17,16
17,17,15,15,17,16.2
17,17,14,16,17,16.2
17,17,15,15,17,16.2
17,17,15,15,17,16.2
17,17,15,15,17,16.2
18,17,15,15,17,16.4
17,17,15,15,17,16.2
17,17,15,15,17,16.2
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,15,18,16.4
18,17,15,15,17,16.4
17,17,15,15,17,16.2
17,17,15,15,17,16.2
17,17,15,15,17,16.2
18,17,15,15,18,16.6
18,17,15,15,18,16.6
18,17,15,15,18,16.6
18,17,15,15,17,16.4
18,17,14,15,17,16.2
18,17,14,15,17,16.2
18,17,15,15,17,16.4
18,17,15,15,18,16.6
18,17,15,15,18,16.6
18,17,15,15,18,16.6
18,17,14,15,18,16.4
17,17,15,15,18,16.4
17,17,15,14,18,16.2
17,17,15,14,18,16.2
17,17,15,14,18,16.2
17,17,15,14,18,16.2
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,14,18,16.2
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,15,17,16.2
16,17,15,15,17,16
17,17,15,14,18,16.2
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,15,18,16.4
16,17,15,14,18,16
16,17,15,15,18,16.2
16,17,16,15,18,16.4
16,16,15,15,18,16
16,16,15,15,17,15.8
17,17,15,15,17,16.2
16,17,15,15,17,16
16,16,15,15,17,15.8
16,16,15,15,17,15.8
16,16,15,15,17,15.8
16,17,15,15,17,16
16,17,15,15,17,16
16,17,15,15,17,16
16,17,16,15,17,16.2
17,17,15,14,17,16
16,17,16,15,18,16.4
16,17,15,15,17,16
16,17,15,15,17,16
16,17,16,15,17,16.2
16,17,16,14,18,16.2
17,17,16,14,18,16.4
16,17,16,14,18,16.2
16,17,16,15,18,16.4
16,17,16,15,18,16.4
16,18,16,15,18,16.6
16,17,16,14,18,16.2
16,17,16,14,18,16.2
16,17,16,15,18,16.4
16,17,16,15,18,16.4
15,17,16,15,18,16.2
16,17,16,15,18,16.4
16,17,16,14,18,16.2
16,17,17,15,18,16.6
16,17,16,15,17,16.2
16,17,17,15,18,16.6
16,17,16,15,18,16.4
16,17,17,15,18,16.6
15,17,17,15,17,16.2
15,16,16,14,17,15.6
15,17,17,14,17,16
15,17,17,15,17,16.2
15,16,17,15,18,16.2
15,16,17,15,17,16
15,16,17,14,18,16
15,16,16,15,17,15.8
15,16,17,15,17,16
15,16,17,15,17,16
16,16,17,15,17,16.2
15,16,17,15,17,16
15,17,17,14,17,16
15,16,17,14,17,15.8
15,16,17,15,17,16
16,16,17,15,17,16.2
16,17,17,15,17,16.4
16,17,17,15,16,16.2
15,17,16,14,16,15.6
15,17,16,14,16,15.6
15,16,16,15,16,15.6
16,17,16,15,17,16.2
16,17,16,15,17,16.2
15,16,16,15,17,15.8
15,16,17,15,17,16
15,17,16,14,17,15.8
16,16,16,15,17,16
16,16,16,15,16,15.8
16,16,16,15,17,16
16,16,17,15,17,16.2
15,16,17,15,17,16
15,16,16,14,16,15.4
16,16,17,15,16,16
15,16,17,15,16,15.8
16,15,17,15,17,16
16,15,17,15,17,16
15,15,16,15,16,15.4
15,16,16,14,16,15.4
15,16,16,15,16,15.6
15,16,16,15,16,15.6
16,16,17,15,16,16
16,15,16,15,16,15.6
16,16,17,14,16,15.8
15,16,16,14,16,15.4
16,16,16,14,16,15.6
16,16,16,15,17,16
16,16,16,15,17,16
16,15,16,15,18,16
16,15,16,14,17,15.6
15,15,16,14,17,15.4
16,16,16,14,18,16
15,16,16,15,17,15.8
15,16,17,15,17,16
16,16,17,15,17,16.2
16,15,16,15,17,15.8
